Estado;Cantidad;Precio
Compra;0.00466;21434.91
Venta;0.00466;21437.33
Compra;0.00466;21434.45
Venta;0.00466;21436.62
Compra;0.00466;21431.09
Venta;0.00466;21434.39
Compra;0.00466;21429.75
Venta;0.00466;21433.81
Compra;0.00466;21431.07
Venta;0.00466;21433.25
Compra;0.00466;21428.43
Venta;0.00466;21430.64
Compra;0.00466;21428.33
Venta;0.00466;21431.69
Compra;0.00466;21428.75
Venta;0.00466;21433.03
Compra;0.00466;21430.24
Venta;0.00466;21434.39
Compra;0.00466;21425.73
Venta;0.00466;21429.29
Compra;0.00466;21425.99
Venta;0.00466;21429.05
Compra;0.00466;21424.33
Venta;0.00466;21426.59
Compra;0.00466;21422.54
Venta;0.00466;21425.72
Compra;0.00466;21421.17
Venta;0.00466;21427.12
Compra;0.00466;21424.55
Venta;0.00466;21426.73
Compra;0.00466;21421.6
Venta;0.00466;21425.01
Compra;0.00466;21416.48
Venta;0.00466;21419.35
Compra;0.00466;21416.7
Venta;0.00466;21419.92
Compra;0.00466;21415.92
Venta;0.00466;21420.99
Compra;0.00466;21417.47
Venta;0.00466;21419.89
Compra;0.00466;21414.48
Venta;0.00466;21418.49
Compra;0.00466;21411.0
Venta;0.00466;21413.26
Compra;0.00466;21410.77
Venta;0.00466;21413.8
Compra;0.00466;21407.91
Venta;0.00466;21410.44
Compra;0.00466;21406.25
Venta;0.00466;21408.97
Compra;0.00466;21406.42
Venta;0.00466;21409.73
Compra;0.00466;21405.9
Venta;0.00466;21408.41
Compra;0.00466;21404.35
Venta;0.00466;21407.5
Compra;0.00466;21402.57
Venta;0.00466;21405.3
Compra;0.00466;21389.94
Venta;0.00466;21393.38
Compra;0.00466;21391.02
Venta;0.00466;21393.32
Compra;0.00466;21389.12
Venta;0.00466;21397.83
Compra;0.00466;21395.32
Venta;0.00466;21399.93
Compra;0.00466;21389.61
Venta;0.00466;21396.74
Compra;0.00466;21394.14
Venta;0.00466;21397.23
Compra;0.00466;21394.62
Venta;0.00466;21401.81
Compra;0.00466;21397.32
Venta;0.00466;21401.47
Compra;0.00466;21397.4
Venta;0.00466;21402.26
Compra;0.00466;21399.68
Venta;0.00466;21403.13
Compra;0.00466;21399.31
Venta;0.00466;21404.25
Compra;0.00466;21399.3
Venta;0.00466;21401.6
Compra;0.00466;21397.63
Venta;0.00466;21400.81
Compra;0.00466;21398.01
Venta;0.00466;21400.69
Compra;0.00466;21398.54
Venta;0.00466;21400.73
Compra;0.00466;21397.92
Venta;0.00466;21400.95
Compra;0.00466;21397.66
Venta;0.00466;21400.08
Compra;0.00466;21392.49
Venta;0.00466;21395.73
Compra;0.00466;21389.98
Venta;0.00466;21392.3
Compra;0.00466;21389.99
Venta;0.00466;21393.6
Compra;0.00466;21389.62
Venta;0.00466;21395.16
Compra;0.00466;21392.09
Venta;0.00466;21395.58
Compra;0.00466;21392.65
Venta;0.00466;21395.32
Compra;0.00466;21393.13
Venta;0.00466;21395.57
Compra;0.00466;21392.26
Venta;0.00466;21394.42
Compra;0.00466;21390.86
Venta;0.00466;21393.16
Compra;0.00466;21390.52
Venta;0.00466;21392.71
Compra;0.00466;21389.95
Venta;0.00466;21392.95
Compra;0.00466;21389.3
Venta;0.00466;21392.9
Compra;0.00466;21390.43
Venta;0.00466;21395.78
Compra;0.00466;21391.88
Venta;0.00466;21395.13
Compra;0.00466;21392.76
Venta;0.00466;21395.39
Compra;0.00466;21392.33
Venta;0.00466;21395.29
Compra;0.00466;21392.98
Venta;0.00466;21400.0
Compra;0.00466;21390.94
Venta;0.00466;21393.38
